"","code","deck_limit","faction_code","faction_cost","flavor","illustrator","influence_limit","keywords","minimum_deck_size","pack_code","position","quantity","side_code","stripped_text","stripped_title","text","title","type_code","uniqueness","base_link","cost","memory_cost","strength","advancement_cost","agenda_points","trash_cost"
"19","01010",3,"anarch",3,"It looked like random packet loss. It wasn't.","Adam S. Doyle",NA,"Virus",NA,"core",10,2,"runner","Whenever you make a successful run on R&D, place 1 virus counter on this program. Whenever you breach R&D, choose a number less than the number of hosted virus counters. Access that many additional cards.","Medium","Whenever you make a successful run on R&D, place 1 virus counter on this program.
Whenever you breach R&D, choose a number less than the number of hosted virus counters. Access that many additional cards.","Medium","program",FALSE,NA,3,1,NA,NA,NA,NA
"20","01011",3,"anarch",1,"November 5th: the day when all would see the corrupt machinations of the corporate oligarchy.","Ed Mattinian",NA,"Icebreaker - Killer",NA,"core",11,2,"runner","Interface -> 1 credit: Break 1 sentry subroutine.","Mimic","Interface → <strong>1[credit]:</strong> Break 1 <strong>sentry</strong> subroutine.","Mimic","program",FALSE,NA,3,1,3,NA,NA,NA
"21","01012",3,"anarch",2,NA,"Bruno Balixa",NA,"Virus - Trojan",NA,"core",12,3,"runner","Install only on a rezzed piece of ice. When your turn begins, place 1 virus counter on this program. Host ice gets -1 strength for each hosted virus counter. When the strength of host ice is 0 or less, trash it.","Parasite","Install only on a rezzed piece of ice.
When your turn begins, place 1 virus counter on this program.
Host ice gets -1 strength for each hosted virus counter.
When the strength of host ice is 0 or less, trash it.","Parasite","program",FALSE,NA,2,1,NA,NA,NA,NA
"22","01013",3,"anarch",2,"Fire and ichor…","Sandara Tang",NA,"Icebreaker - AI",NA,"core",13,2,"runner","Interface -> 3 credits: Break 1 subroutine on a piece of ice with 0 or less strength. Interface -> 1 credit: The ice you are encountering gets -1 strength for the remainder of this encounter. 1 credit: +1 strength.","Wyrm","Interface → <strong>3[credit]:</strong> Break 1 subroutine on a piece of ice with 0 or less strength.
Interface → <strong>1[credit]:</strong> The ice you are encountering gets -1 strength for the remainder of this encounter.
<strong>1[credit]:</strong> +1 strength.","Wyrm","program",FALSE,NA,1,1,1,NA,NA,NA
"23","01014",3,"anarch",1,"The Yog.0 database is a crowdsourced compilation of sniffed, spoofed, and logged passkeys. If the key to the gate is in the database, you're in. If it's not, change the gate!","Kate Niemczyk",NA,"Icebreaker - Decoder",NA,"core",14,2,"runner","Interface -> 0 credits: Break 1 code gate subroutine.","Yog.0","Interface → <strong>0[credit]:</strong> Break 1 <strong>code gate</strong> subroutine.","Yog.0","program",FALSE,NA,5,1,3,NA,NA,NA
"24","01015",3,"anarch",3,"In the public consciousness, there's a hard line between corp and runner. In the real world, things are a little more porous. The corps need the best hackers to run their networks, and some of the best hackers are ex-runners who like the idea of a regular paycheck. But sometimes things run the other way, and someone on the inside makes something like this.","Mark Anthony Taduran",NA,"Virtual",NA,"core",15,1,"runner","While you are encountering a piece of ice, it gets -1 strength.","Ice Carver","While you are encountering a piece of ice, it gets -1 strength.","Ice Carver","resource",TRUE,NA,3,NA,NA,NA,NA,NA
"25","01016",3,"anarch",3,"""Best place to go when you want to get your mind out of the gutter and take it inside."" -Ji ""Noise"" Reilly","Henning Ludvigsen",NA,"Location - Seedy",NA,"core",16,2,"runner","When your turn begins, draw 2 cards and lose click.","Wyldside","When your turn begins, draw 2 cards and lose [click].","Wyldside","resource",TRUE,NA,3,NA,NA,NA,NA,NA
"26","01017",1,"criminal",0,"""Of course I steal from the rich. They're the ones with all the money.""","Ralph Beisner",15,"Cyborg",45,"core",17,1,"runner","The first time you make a successful run on HQ each turn, gain 2 credits.","Gabriel Santiago: Consummate Professional","The first time you make a successful run on HQ each turn, gain 2[credit].","Gabriel Santiago: Consummate Professional","identity",FALSE,0,NA,NA,NA,NA,NA,NA
"27","01018",3,"criminal",4,NA,"Outland Entertainment LLC",NA,"Run - Sabotage",NA,"core",18,2,"runner","Run HQ. If successful, instead of breaching HQ, you may force the Corp to lose up to 5 credits, then you gain 2 credits for each credit lost and take 2 tags.","Account Siphon","Run HQ. If successful, instead of breaching HQ, you may force the Corp to lose up to 5[credit], then you gain 2[credit] for each credit lost and take 2 tags.","Account Siphon","event",FALSE,NA,0,NA,NA,NA,NA,NA
"28","01019",3,"criminal",1,"""Hey kid, you fire that up now, bound to be vamped real bad. Some real pathetic individuals around here. But thankfully I got just the ticket…""","Matt Zeilinger",NA,"Job",NA,"core",19,3,"runner","Gain 3 credits.","Easy Mark","Gain 3[credit].","Easy Mark","event",FALSE,NA,0,NA,NA,NA,NA,NA
"29","01020",3,"criminal",2,"As the hysteria in the room climbed higher up the corporate chain, an uneasy feeling of joblessness began to sink in on the lower rungs.","Ed Mattinian",NA,"Sabotage",NA,"core",20,3,"runner","Choose 1 unrezzed piece of ice. The Corp may rez that ice. If they do not, they trash it.","Forged Activation Orders","Choose 1 unrezzed piece of ice. The Corp may rez that ice. If they do not, they trash it.","Forged Activation Orders","event",FALSE,NA,1,NA,NA,NA,NA,NA
"30","01021",3,"criminal",3,"""Hey, listen, I'm not asking you to do anything dangerous. Just let me into the building. And tell me which room has the weakest security. And please don't say 'the bathroom' again.""","Clark Huggins",NA,"Run",NA,"core",21,3,"runner","Run any server. The first time this run you encounter a piece of ice, bypass it.","Inside Job","Run any server. The first time this run you encounter a piece of ice, bypass it.","Inside Job","event",FALSE,NA,2,NA,NA,NA,NA,NA
"31","01022",3,"criminal",2,"Feverishly tracking its frustratingly slow progress across the Pacific, the package finally shows up hours later…","Kate Niemczyk",NA,NA,NA,"core",22,3,"runner","Search your stack for an icebreaker, reveal it, and add it to your grip. Shuffle your stack.","Special Order","Search your stack for an <strong>icebreaker</strong>, reveal it, and add it to your grip. Shuffle your stack.","Special Order","event",FALSE,NA,1,NA,NA,NA,NA,NA
"32","01023",3,"criminal",1,"""A little preparation goes a long way."" -Gabriel Santiago","Emerson Tung",NA,NA,NA,"core",23,2,"runner","click, 1 credit: Expose 1 card. Use this ability only if you have made a successful run on HQ this turn.","Lemuria Codecracker","[click], 1[credit]: Expose 1 card. Use this ability only if you have made a successful run on HQ this turn.","Lemuria Codecracker","hardware",FALSE,NA,1,NA,NA,NA,NA,NA
"33","01024",3,"criminal",3,NA,"Outland Entertainment LLC",NA,"Console",NA,"core",24,1,"runner","+1 mu Gain 1 credit whenever you make a successful run. Limit 1 console per player.","Desperado","+1[mu]
Gain 1[credit] whenever you make a successful run.
Limit 1 <strong>console</strong> per player.","Desperado","hardware",TRUE,NA,3,NA,NA,NA,NA,NA
"34","01025",3,"criminal",1,NA,"Adam S. Doyle",NA,"Icebreaker - Fracter",NA,"core",25,2,"runner","Interface -> 2 credits: Break 1 barrier subroutine. 2 credits: +3 strength.","Aurora","Interface → <strong>2[credit]:</strong> Break 1 <strong>barrier</strong> subroutine.
<strong>2[credit]:</strong> +3 strength.","Aurora","program",FALSE,NA,3,1,1,NA,NA,NA
"35","01026",3,"criminal",1,NA,"Kate Niemczyk",NA,"Icebreaker - Killer",NA,"core",26,2,"runner","Interface -> 1 credit: Break 1 sentry subroutine. 2 credits: +1 strength. When you install this program, choose 1 installed piece of ice. Whenever you encounter the chosen ice, you may pay 1 credit for each subroutine it has. If you do, bypass that ice.","Femme Fatale","Interface → <strong>1[credit]:</strong> Break 1 <strong>sentry</strong> subroutine.
<strong>2[credit]:</strong> +1 strength.
When you install this program, choose 1 installed piece of ice.
Whenever you encounter the chosen ice, you may pay 1[credit] for each subroutine it has. If you do, bypass that ice.","Femme Fatale","program",FALSE,NA,9,1,2,NA,NA,NA
"36","01027",3,"criminal",2,"You feel Ninja before you see Ninja, if you see Ninja at all.","Andrew Mar",NA,"Icebreaker - Killer",NA,"core",27,2,"runner","Interface -> 1 credit: Break 1 sentry subroutine. 3 credits: +5 strength.","Ninja","Interface → <strong>1[credit]:</strong> Break 1 <strong>sentry</strong> subroutine.
<strong>3[credit]:</strong> +5 strength.","Ninja","program",FALSE,NA,4,1,0,NA,NA,NA
"37","01028",3,"criminal",3,"""The code isn't important. It's where the code takes you that is important."" -g00ru","Andrew Mar",NA,NA,NA,"core",28,2,"runner","click: Run Archives. If that run would be declared successful, change the attacked server to HQ for the remainder of that run.","Sneakdoor Beta","[click]<strong>:</strong> Run Archives. If that run would be declared successful, change the attacked server to HQ for the remainder of that run.","Sneakdoor Beta","program",FALSE,NA,4,2,NA,NA,NA,NA
"38","01029",3,"criminal",2,NA,"Mauricio Herrera",NA,"Job",NA,"core",29,2,"runner","When you install this resource, load 8 credits on it. When it is empty, trash it. Whenever you make a successful run on a remote server, instead of breaching that server, you may take any number of credits from this resource.","Bank Job","When you install this resource, load 8[credit] on it. When it is empty, trash it.
Whenever you make a successful run on a remote server, instead of breaching that server, you may take any number of credits from this resource.","Bank Job","resource",FALSE,NA,1,NA,NA,NA,NA,NA
"39","01030",3,"criminal",2,"""My roomie, he had a cousin with a college girlfriend whose brother's best friend was an addict, and the addict's mother used to live here. So yeah, there's a connection."" -Lez ""Rockfist"" S.","Tim Durning",NA,"Location",NA,"core",30,2,"runner","2 recurring credits Use these credits to pay for removing tags. trash: Prevent up to 3 meat damage.","Crash Space","2[recurring-credit]
Use these credits to pay for removing tags.
[trash]: Prevent up to 3 meat damage.","Crash Space","resource",FALSE,NA,2,NA,NA,NA,NA,NA
"40","01031",3,"criminal",2,"Shadier the dealer, better the price. Unless the dealer's too shady. Then there might be a hidden fee after they take your scrip.","Mauricio Herrera",NA,"Connection - Seedy",NA,"core",31,1,"runner","click, forfeit 1 agenda: Gain 9 credits.","Data Dealer","<strong>[click]</strong>, <strong>forfeit 1 agenda:</strong> Gain 9[credit].","Data Dealer","resource",FALSE,NA,0,NA,NA,NA,NA,NA
"41","01032",3,"criminal",2,"""I get the feeling that this is the wrong place, Frank.""
""What makes you say that, D?""
""The curlers.""","Mauricio Herrera",NA,"Connection",NA,"core",32,2,"runner","trash: Avoid receiving 1 tag.","Decoy","[trash]: Avoid receiving 1 tag.","Decoy","resource",FALSE,NA,1,NA,NA,NA,NA,NA
"42","01033",1,"shaper",0,"""Are you listening?""","Ralph Beisner",15,"Natural",45,"core",33,1,"runner","Lower the install cost of the first program or piece of hardware you install each turn by 1.","Kate ""Mac"" McCaffrey: Digital Tinker","Lower the install cost of the first program or piece of hardware you install each turn by 1.","Kate ""Mac"" McCaffrey: Digital Tinker","identity",FALSE,1,NA,NA,NA,NA,NA,NA
"43","01034",3,"shaper",2,"Diesel gives you flames.","Tim Durning",NA,NA,NA,"core",34,3,"runner","Draw 3 cards.","Diesel","Draw 3 cards.","Diesel","event",FALSE,NA,0,NA,NA,NA,NA,NA
"44","01035",3,"shaper",2,"There's no replacement for a home-grown program. Fed on late nights, oaty bars, and single-minded determination. Cheaper, too.","Ralph Beisner",NA,"Mod",NA,"core",35,2,"runner","Install a program or piece of hardware, lowering the install cost by 3.","Modded","Install a program or piece of hardware, lowering the install cost by 3.","Modded","event",FALSE,NA,0,NA,NA,NA,NA,NA
"45","01036",3,"shaper",2,"""Some of the professionals have good instincts, but they can't see beyond the data. They can't see the matrix."" -Ele ""Smoke"" Scovak","Yue Wang",NA,"Run",NA,"core",36,3,"runner","Run R&D. If successful, access 2 additional cards when you breach R&D.","The Maker's Eye","Run R&D. If successful, access 2 additional cards when you breach R&D.","The Maker's Eye","event",FALSE,NA,2,NA,NA,NA,NA,NA
"46","01037",3,"shaper",4,"""There's that moment, you know, when the whole world seems to fall away and it is only you and your mod, and the mod is the world.""","Christina Davis",NA,"Mod",NA,"core",37,3,"runner","Choose a piece of ice. That ice gains sentry, code gate, and barrier until the end of the turn.","Tinkering","Choose a piece of ice. That ice gains <strong>sentry</strong>, <strong>code gate</strong>, and <strong>barrier</strong> until the end of the turn.","Tinkering","event",FALSE,NA,0,NA,NA,NA,NA,NA
"47","01038",3,"shaper",1,"The Akamatsu company was founded on three principles: first, to make the fastest mem chips on the market, second, to turn a profit, and third, to serve as a front for the manufacture of illegal neural-stimulants. It is the last principle that perhaps explains their rabid brand loyalty.","Outland Entertainment LLC",NA,"Chip",NA,"core",38,2,"runner","+1 mu","Akamatsu Mem Chip","+1[mu]","Akamatsu Mem Chip","hardware",FALSE,NA,1,NA,NA,NA,NA,NA
"48","01039",3,"shaper",1,"It's not endless, it just feels that way.","Mark Anthony Taduran",NA,"Link",NA,"core",39,2,"runner","+1 link When Rabbit Hole is installed, you may search your stack for another copy of Rabbit Hole and install it by paying its install cost. Shuffle your stack.","Rabbit Hole","+1[link]
When Rabbit Hole is installed, you may search your stack for another copy of Rabbit Hole and install it by paying its install cost. Shuffle your stack.","Rabbit Hole","hardware",FALSE,NA,2,NA,NA,NA,NA,NA
"49","01040",3,"shaper",2,"A z-loop here, a cortical wave there…","Bruno Balixa",NA,"Mod",NA,"core",40,2,"runner","Install The Personal Touch only on an icebreaker. Host icebreaker has +1 strength.","The Personal Touch","Install The Personal Touch only on an <strong>icebreaker.</strong>
Host <strong>icebreaker</strong> has +1 strength.","The Personal Touch","hardware",FALSE,NA,2,NA,NA,NA,NA,NA
"50","01041",3,"shaper",2,NA,"Michael Hamlett",NA,"Console",NA,"core",41,1,"runner","+2 mu +2 link 2 recurring credits Use these credits to pay for using icebreakers. Limit 1 console per player.","The Toolbox","+2[mu] +2[link]
2[recurring-credit]
Use these credits to pay for using <strong>icebreakers</strong>.
Limit 1 <strong>console</strong> per player.","The Toolbox","hardware",TRUE,NA,9,NA,NA,NA,NA,NA
"51","01042",3,"shaper",2,"""It's called 'brute-forcing' and it's just as effective today as it was a hundred years ago."" -Kate ""Mac"" McCaffrey","Liiga Smilshkalne",NA,"Icebreaker - Fracter",NA,"core",42,2,"runner","Interface -> 2 credits: Break up to 2 barrier subroutines. 1 credit: +1 strength for the remainder of this run.","Battering Ram","Interface → <strong>2[credit]:</strong> Break up to 2 <strong>barrier</strong> subroutines.
<strong>1[credit]:</strong> +1 strength for the remainder of this run.","Battering Ram","program",FALSE,NA,5,2,3,NA,NA,NA
"52","01043",3,"shaper",3,"It can slice through the thickest knots of data.","Mike Nesbitt",NA,"Icebreaker - Decoder",NA,"core",43,3,"runner","Interface -> 1 credit: Break 1 code gate subroutine. 1 credit: +1 strength for the remainder of this run.","Gordian Blade","Interface → <strong>1[credit]:</strong> Break 1 <strong>code gate</strong> subroutine.
<strong>1[credit]:</strong> +1 strength for the remainder of this run.","Gordian Blade","program",FALSE,NA,4,1,2,NA,NA,NA
"53","01044",3,"shaper",2,"The Great Work was completed on a rainy Thursday afternoon. There were no seismic shifts, no solar flares, no sign from the earth or heavens that the world had changed. But upstalk in Heinlein, on a single Cybsoft manufactured datacore, the flickering data quantums of an account began to fill with creds. Real, honest-to-goodness UN certified creds.","Outland Entertainment LLC",NA,NA,NA,"core",44,2,"runner","click: Gain 2 credits.","Magnum Opus","[click]: Gain 2[credit].","Magnum Opus","program",FALSE,NA,5,2,NA,NA,NA,NA
"54","01045",3,"shaper",1,"Sucks energy like a martian terra-bot, but it keeps you focused","Andrew Mar",NA,NA,NA,"core",45,2,"runner","Interrupt -> The first time each turn you would suffer net damage, you may pay 1 credit to prevent 1 net damage.","Net Shield","[interrupt] → The first time each turn you would suffer net damage, you may pay 1[credit] to prevent 1 net damage.","Net Shield","program",FALSE,NA,2,1,NA,NA,NA,NA
"55","01046",3,"shaper",1,NA,"Matt Zeilinger",NA,"Icebreaker - Killer",NA,"core",46,2,"runner","Interface -> 1 credit: Break 1 sentry subroutine. 2 credits: +1 strength for the remainder of this run.","Pipeline","Interface → <strong>1[credit]:</strong> Break 1 <strong>sentry</strong> subroutine.
<strong>2[credit]:</strong> +1 strength for the remainder of this run.","Pipeline","program",FALSE,NA,3,1,1,NA,NA,NA
"56","01047",3,"shaper",2,"You didn't mention Aesop's arm unless you wanted an earful. Sometimes he talked about it in such a way that you wondered why he didn't laser his other arm off as well.","Adam Schumpert",NA,"Connection - Location",NA,"core",47,1,"runner","When your turn begins, you may trash 1 of your other installed cards. If you do, gain 3 credits.","Aesop's Pawnshop","When your turn begins, you may trash 1 of your other installed cards. If you do, gain 3[credit].","Aesop's Pawnshop","resource",TRUE,NA,1,NA,NA,NA,NA,NA
"57","01048",3,"shaper",1,"The life expectancy of a jacked construct is about that of a mayfly. In other words, short.","Matt Zeilinger",NA,"Remote",NA,"core",48,2,"runner","trash: Prevent an installed program or an installed piece of hardware from being trashed.","Sacrificial Construct","[trash]: Prevent an installed program or an installed piece of hardware from being trashed.","Sacrificial Construct","resource",FALSE,NA,0,NA,NA,NA,NA,NA
"58","01049",3,"neutral-runner",0,"""Bring back any memories, Monica?"" -John ""Animal"" McEvoy","Imaginary FS Pte Ltd",NA,NA,NA,"core",49,3,"runner","Gain 2 credits or expose 1 card.","Infiltration","Gain 2[credit] or expose 1 card.","Infiltration","event",FALSE,NA,0,NA,NA,NA,NA,NA
"59","01050",3,"neutral-runner",0,"Lady Luck took the form of a hifi quantum manipulation ring that she wore on her middle finger.","Kate Niemczyk",NA,NA,NA,"core",50,3,"runner","Gain 9 credits.","Sure Gamble","Gain 9[credit].","Sure Gamble","event",FALSE,NA,5,NA,NA,NA,NA,NA
"60","01051",3,"neutral-runner",0,NA,"Mauricio Herrera",NA,"Icebreaker - AI - Virus",NA,"core",51,3,"runner","Interface -> 1 credit: Break 1 subroutine. 1 credit: +1 strength. click: Place 1 virus counter on this program. Whenever an encounter ends, if you used this program to break a subroutine during that encounter, remove 1 hosted virus counter or trash this program.","Crypsis","Interface → <strong>1[credit]:</strong> Break 1 subroutine.
<strong>1[credit]:</strong> +1 strength.
<strong>[click]:</strong> Place 1 virus counter on this program.
Whenever an encounter ends, if you used this program to break a subroutine during that encounter, remove 1 hosted virus counter or trash this program.","Crypsis","program",FALSE,NA,5,1,0,NA,NA,NA
"61","01052",3,"neutral-runner",0,"He flicked the display population to high, and was surrounded by a circle of floating holos. The ping-back was strong, the clearance level blue-one. Now to find the perfect place for a relay…","Mike Nesbitt",NA,"Link",NA,"core",52,3,"runner","+1 link","Access to Globalsec","+1[link]","Access to Globalsec","resource",FALSE,NA,1,NA,NA,NA,NA,NA
"62","01053",3,"neutral-runner",0,"Drudge work, but it pays the bills.","Mauricio Herrera",NA,"Job",NA,"core",53,3,"runner","Place 12 credits from the bank on Armitage Codebusting when it is installed. When there are no credits left on Armitage Codebusting, trash it. click: Take 2 credits from Armitage Codebusting.","Armitage Codebusting","Place 12[credit] from the bank on Armitage Codebusting when it is installed. When there are no credits left on Armitage Codebusting, trash it.
[click]: Take 2[credit] from Armitage Codebusting.","Armitage Codebusting","resource",FALSE,NA,1,NA,NA,NA,NA,NA
"63","01054",1,"haas-bioroid",0,"Effective. Reliable. Humane.",NA,15,"Megacorp",45,"core",54,1,"corp","The first time you install a card each turn, gain 1 credit.","Haas-Bioroid: Engineering the Future","The first time you install a card each turn, gain 1[credit].","Haas-Bioroid: Engineering the Future","identity",FALSE,NA,NA,NA,NA,NA,NA,NA
"64","01055",3,"haas-bioroid",0,NA,"Rachel Borovic",NA,"Research",NA,"core",55,3,"corp","When you score Accelerated Beta Test, you may look at the top 3 cards of R&D. If any of those cards are ice, you may install and rez them, ignoring all costs. Trash the rest of the cards you looked at.","Accelerated Beta Test","When you score Accelerated Beta Test, you may look at the top 3 cards of R&D. If any of those cards are ice, you may install and rez them, ignoring all costs. Trash the rest of the cards you looked at.","Accelerated Beta Test","agenda",FALSE,NA,NA,NA,NA,3,2,NA
"65","01056",3,"haas-bioroid",2,NA,"Mark Anthony Taduran",NA,"Advertisement",NA,"core",56,3,"corp","Put 12 credits from the bank on Adonis Campaign when rezzed. When there are no credits left on Adonis Campaign, trash it. Take 3 credits from Adonis Campaign when your turn begins.","Adonis Campaign","Put 12[credit] from the bank on Adonis Campaign when rezzed. When there are no credits left on Adonis Campaign, trash it.
Take 3[credit] from Adonis Campaign when your turn begins.","Adonis Campaign","asset",FALSE,NA,4,NA,NA,NA,NA,3
